P09,talk,2025,"Da Cunha, Y., & Heidinger, S. (2025). *Asymmetries in pronoun strength and competition effects in binding*. SFB Clitic Cluster Workshop, Vienna.","@misc{Da Cunha_Heidinger_2025, author={Da Cunha, Y. and Heidinger, S.}, title={Asymmetries in pronoun strength and competition effects in binding}, year={2025}, month={Apr}, eventtitle={SFB Clitic Cluster Workshop}, venue={Vienna} }"
P09,talk,2025,"Da Cunha, Y., & Heidinger, S. (2025). *Competition-driven animacy mismatches in anaphoric relations* [Poster]. Mismatches in anaphoric relations (RED 25), Graz.","@misc{Da Cunha_Heidinger_2025, author={Da Cunha, Y. and Heidinger, S.}, title={Competition-driven animacy mismatches in anaphoric relations}, year={2025}, month={May}, eventtitle={Mismatches in anaphoric relations (RED 25)}, venue={Graz} }"
P09,talk,2025,"Da Cunha, Y., & Heidinger, S. (2025). *Animacy restrictions on French strong pronouns: A spanning approach in DM*. Salzburg Redefi Days, Salzburg.","@misc{Da Cunha_Heidinger_2025, author={Da Cunha, Y. and Heidinger, S.}, title={Animacy restrictions on French strong pronouns: A spanning approach in DM}, year={2025}, month={July}, eventtitle={Salzburg Redefi Days}, venue={Salzburg} }"
P09,publication,2026,"Da Cunha, Y., & Heidinger, S. (2026). Animacy restrictions without animacy features: The case of strong pronouns in French and Spanish. *Glossa: A Journal of General Linguistics*, *11*(1)." https://doi.org/10.16995/glossa.23551,"@article{Da Cunha_Heidinger_2026, author={Da Cunha, Y. and Heidinger, S.}, title={Animacy restrictions without animacy features: The case of strong pronouns in French and Spanish}, year={2026}, volume={11}, DOI={https://doi.org/10.16995/glossa.23551}, number={1}, journal={Glossa: a journal of general linguistics} }"
P09,talk,2026,"Da Cunha, Y., & Heidinger, S. (2026). *Argument drop and competition effects: Experimental and corpus studies on French and Spanish PPs* [Invited talk]. Linguistisches Kolloquium der Romanistik, University of Köln.","@misc{Da Cunha_Heidinger_2026, author={Da Cunha, Y. and Heidinger, S.}, title={Argument drop and competition effects: Experimental and corpus studies on French and Spanish PPs}, year={2026}, eventtitle={Linguistisches Kolloquium der Romanistik}, venue={University of Köln} }"
P09,publication,2026,"Da Cunha, Y., & Heidinger, S. (2026). Competition effects on animacy restrictions: French and Spanish PPs as a case. *Romanische Forschungen*.","@article{Da Cunha_Heidinger_2026, author={Da Cunha, Y. and Heidinger, S.}, title={Competition effects on animacy restrictions: French and Spanish PPs as a case}, year={2026}, journal={Romanische Forschungen} }"
P09,talk,2024,"Da Cunha, Y., Heidinger, S., & Schwarzenberger, A. (2024). *Competition and animacy restrictions:  French and Spanish PPs as a case*.","@misc{Da Cunha_Heidinger_Schwarzenberger_2024, author={Da Cunha, Y. and Heidinger, S. and Schwarzenberger, A.}, title={Competition and animacy restrictions:  French and Spanish PPs as a case}, year={2024}, venue={En ligne} }"
P09,talk,2024,"Da Cunha, Y., Heidinger, S., & Schwarzenberger, A. (2024). *Competition and animacy restrictions: French and Spanish PPs as a case*. Workshop: Pronouns in PPs, Graz (online).","@misc{Da Cunha_Heidinger_Schwarzenberger_2024, author={Da Cunha, Y. and Heidinger, S. and Schwarzenberger, A.}, title={Competition and animacy restrictions: French and Spanish PPs as a case}, year={2024}, eventtitle={Workshop: Pronouns in PPs}, venue={Graz (online)} }"
P09,talk,2025,"Da Cunha, Y., & Steffen, H. (2025). *How to stay flexible in DM: Animacy & French pronouns*. SFB Retreat, Semmering.","@misc{Da Cunha_Steffen_2025, author={Da Cunha, Y. and Steffen, H.}, title={How to stay flexible in DM: Animacy & French pronouns}, year={2025}, month={June}, eventtitle={SFB Retreat}, venue={Semmering} }"
P09,talk,2026,"Da Cunha, Y., & Steffen, H. (2026). *Quel pronom gagne la compétition? Le cas des pronoms forts, nuls et démonstratifs dans les syntagmes prépositionnels.* [Invited talk]. Séminaire du laboratoire CLLE, Toulouse.","@misc{Da Cunha_Steffen_2026, author={Da Cunha, Y. and Steffen, H.}, title={Quel pronom gagne la compétition? Le cas des pronoms forts, nuls et démonstratifs dans les syntagmes prépositionnels.}, year={2026}, eventtitle={Séminaire du laboratoire CLLE}, venue={Toulouse} }"
